"","SRR1027171","SRR1027172","SRR1027173","SRR1027174","SRR1027175","SRR1027176","SRR1027177","SRR1027178","SRR1027179","SRR1027180","SRR1027181","SRR1027182","SRR1027183","SRR1027184","SRR1027185","SRR1027186","SRR1027187","SRR1027188","SRR1027189","SRR1027190"
"ENSG00000204880.6",1,0,3,2,1,0,0,1,2,0,3,0,0,0,0,0,0,0,1,0
"ENSG00000241241.1",5,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212722.6",2,0,2,0,1,0,1,1,2,1,1,1,0,0,0,0,0,0,4,1
"ENSG00000212721.2",1,0,1,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,2,0
"ENSG00000213416.3",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000198090.3",0,0,0,0,0,0,0,2,1,0,2,0,1,0,1,0,0,0,0,0
"ENSG00000198271.3",2,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000171396.10",6,0,6,0,1,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0
"ENSG00000196156.3",1,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000244537.2",1,1,1,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0
"ENSG00000198443.5",1,0,25,1,3,0,0,2,1,0,4,1,1,1,0,7,2,0,3,1
"ENSG00000251439.1",2,0,2,1,0,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0
"ENSG00000240542.2",2,0,2,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0
"ENSG00000248807.1",3,0,9,2,2,0,0,2,1,0,3,0,0,0,0,0,0,1,0,0
"ENSG00000239886.2",4,0,5,1,2,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0
"ENSG00000204873.3",4,0,6,0,0,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0
"ENSG00000187272.4",1,0,3,0,0,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0
"ENSG00000241595.1",1,0,11,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000198083.7",3,0,9,0,1,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0
"ENSG00000212659.1",5,0,1,0,1,1,1,4,2,1,1,0,0,0,0,0,0,0,0,0
"ENSG00000229351.1",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000180386.7",4,0,4,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0
"ENSG00000237183.1",2,0,6,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000212658.1",2,0,11,0,2,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0
"ENSG00000212657.1",11,0,27,8,7,2,3,3,3,3,8,6,0,0,0,0,1,2,4,0
"ENSG00000186860.3",3,0,3,4,4,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0
"ENSG00000233014.1",21,1,50,8,7,6,5,7,15,4,16,5,0,0,0,0,1,0,0,0
"ENSG00000108516.5",4,0,10,0,2,0,1,1,2,0,1,2,0,0,0,0,0,0,1,0
"ENSG00000006059.3",8,0,39,3,9,7,4,6,4,3,10,7,0,0,0,0,0,5,4,3
"ENSG00000131738.5",12,0,33,2,1,6,3,2,5,2,5,2,0,0,0,1,0,4,0,0
"ENSG00000131737.5",6,0,40,3,0,4,0,1,6,4,7,3,0,0,0,0,0,0,1,0
"ENSG00000094796.4",16,0,33,4,4,13,8,3,5,5,8,13,0,0,0,0,0,5,0,2
"ENSG00000234859.1",9,1,33,0,5,2,4,2,7,5,4,2,0,0,0,1,0,1,6,1
"ENSG00000225438.1",14,0,23,2,3,3,7,4,8,1,3,11,0,0,0,0,0,10,4,1
"ENSG00000108417.3",10,0,34,0,4,4,3,4,10,8,10,6,0,0,0,2,0,1,1,1
"ENSG00000171360.3",23,1,84,3,4,5,3,4,7,13,14,5,0,0,0,0,1,0,0,0
"ENSG00000236473.1",12,0,24,1,2,1,4,8,5,3,7,4,0,1,0,0,1,2,1,0
"ENSG00000108759.3",15,0,49,2,3,6,12,9,27,11,15,3,0,0,9,0,1,17,9,14
"ENSG00000223125.1",3,0,0,1,1,1,0,5,4,1,2,0,0,0,0,0,0,0,0,0
"ENSG00000197079.4",16,0,48,2,9,1,5,7,7,5,8,3,1,0,0,1,0,1,1,0
"ENSG00000126337.9",20,0,46,1,6,10,8,11,12,4,11,5,0,0,1,1,1,9,2,0
"ENSG00000171401.10",26,0,83,10,5,11,10,16,14,7,23,3,1,3,1,2,2,21,12,5
"ENSG00000229732.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
